,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_F,Pos_G,Pos
144,9,5,23.0,2.3,5.6,0.42,1.3,4.1,0.324,1.0,1.4,0.692,0.54,1.3,1.9,0.706,0.3,2.1,2.4,0.6,1.0,0.2,0.6,2.6,7.3,0.0,1.0,0.0,F
145,15,8,17.1,2.4,5.5,0.434,0.1,0.3,0.25,2.3,5.3,0.443,0.44,1.9,2.7,0.707,1.1,1.7,2.7,0.2,1.4,0.3,1.5,2.5,6.8,0.0,0.0,1.0,G
146,18,18,25.7,2.2,6.2,0.357,1.0,2.8,0.353,1.2,3.4,0.361,0.438,0.9,1.3,0.708,0.5,2.6,3.1,1.5,0.7,0.3,2.0,1.8,6.4,0.0,0.0,1.0,G
147,9,0,20.8,2.2,4.3,0.513,0.7,1.3,0.5,1.6,3.0,0.519,0.59,1.2,1.4,0.846,1.4,3.8,5.2,0.6,0.4,0.4,1.1,2.2,6.3,0.0,1.0,0.0,F
148,18,4,17.5,2.5,5.2,0.479,0.6,2.0,0.306,1.9,3.2,0.586,0.537,0.7,1.1,0.632,0.3,2.0,2.3,1.9,1.3,0.2,1.1,0.6,6.3,0.0,0.0,1.0,G
149,16,1,18.3,2.1,4.7,0.44,0.8,2.1,0.394,1.3,2.6,0.476,0.527,1.0,1.8,0.571,0.9,1.2,2.1,0.9,0.3,0.1,0.6,1.6,5.9,0.0,0.0,1.0,G
150,18,0,15.9,1.9,4.9,0.382,1.3,3.3,0.407,0.6,1.7,0.333,0.517,0.8,0.9,0.938,0.7,1.1,1.7,0.6,0.2,0.2,0.4,2.2,5.9,0.0,1.0,0.0,F
151,18,0,17.2,2.3,4.4,0.519,0.0,0.2,0.0,2.3,4.2,0.539,0.519,1.4,2.2,0.625,1.2,2.2,3.4,0.8,1.0,0.4,1.3,2.7,5.9,0.0,1.0,0.0,F
152,14,4,18.5,2.4,6.0,0.405,0.6,1.9,0.333,1.8,4.1,0.439,0.458,0.4,1.1,0.4,1.4,1.9,3.4,0.8,0.9,0.6,1.2,2.1,5.9,0.0,0.0,1.0,G
153,18,18,20.8,1.6,2.9,0.538,0.0,0.0,0.28782012195121953,1.6,2.9,0.538,0.538,2.7,3.7,0.727,1.7,3.1,4.7,0.8,0.4,0.1,1.5,3.4,5.8,0.0,1.0,0.0,F
154,13,10,20.3,2.3,3.9,0.588,0.0,0.0,0.28782012195121953,2.3,3.9,0.588,0.588,1.1,1.7,0.636,1.8,2.9,4.7,1.1,0.5,0.5,1.8,1.6,5.7,1.0,0.0,0.0,C
155,18,1,16.4,2.1,4.3,0.474,0.2,0.7,0.308,1.8,3.6,0.508,0.5,0.9,1.2,0.773,1.3,2.8,4.1,0.1,0.9,0.2,0.8,2.7,5.3,0.0,1.0,0.0,F
156,18,9,16.4,1.9,5.2,0.376,1.1,3.0,0.352,0.9,2.2,0.41,0.478,0.3,0.6,0.6,0.3,1.8,2.1,0.4,0.3,0.0,0.8,1.1,5.3,0.0,0.0,1.0,G
157,11,6,16.6,2.0,2.7,0.733,0.1,0.1,1.0,1.9,2.6,0.724,0.75,1.0,2.1,0.478,1.1,1.7,2.8,0.5,0.5,0.4,1.0,1.7,5.1,0.0,1.0,0.0,F
158,14,3,19.5,2.1,4.1,0.526,0.0,0.0,0.28782012195121953,2.1,4.1,0.526,0.526,0.8,2.0,0.393,1.6,4.1,5.8,0.6,0.3,1.4,0.9,1.6,5.1,1.0,0.0,0.0,C
159,18,14,19.4,1.8,4.7,0.376,0.6,2.4,0.25,1.2,2.3,0.512,0.441,0.9,1.3,0.708,1.1,1.6,2.6,0.8,0.8,0.8,0.6,2.2,5.1,0.0,0.0,1.0,G
160,18,8,15.7,1.9,3.2,0.586,0.0,0.0,0.28782012195121953,1.9,3.2,0.586,0.586,1.3,1.9,0.676,0.9,1.6,2.5,0.4,0.3,0.6,0.6,2.4,5.1,0.0,1.0,0.0,F
161,18,12,20.1,1.7,4.6,0.366,0.7,2.5,0.289,0.9,2.1,0.459,0.445,0.8,1.3,0.652,1.1,2.8,3.9,0.7,0.5,0.3,0.7,2.3,4.9,0.0,1.0,0.0,F
162,18,0,18.7,1.6,3.4,0.468,0.7,1.7,0.419,0.9,1.7,0.516,0.573,0.6,0.6,1.0,1.6,1.3,2.9,1.6,0.8,0.2,0.8,2.2,4.6,0.0,1.0,0.0,F
163,18,1,16.5,1.9,4.4,0.43,0.0,0.0,0.28782012195121953,1.9,4.4,0.43,0.43,0.7,1.7,0.4,1.4,2.1,3.5,0.5,0.4,0.4,1.4,2.6,4.4,0.0,1.0,0.0,F
164,18,18,18.7,1.1,2.3,0.463,0.0,0.0,0.28782012195121953,1.1,2.3,0.463,0.463,1.6,2.9,0.558,2.3,2.3,4.6,0.4,0.4,0.4,1.4,2.3,3.7,0.0,1.0,0.0,F
165,11,6,22.2,1.5,2.7,0.533,0.0,0.1,0.0,1.5,2.6,0.552,0.533,0.4,1.0,0.364,1.5,2.0,3.5,1.3,0.2,1.5,1.8,2.0,3.3,0.0,1.0,0.0,F
166,18,3,16.4,1.1,2.9,0.358,0.3,1.1,0.25,0.8,1.8,0.424,0.406,0.7,0.9,0.813,0.2,1.6,1.8,1.5,0.8,0.1,1.4,1.2,3.1,0.0,0.0,1.0,G
